sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,40,White,spouse present,High School,North America,Non-Government,Nontechnical,>50K
Female,40,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,26,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Male,45,Black,spouse present,High School,North America,Non-Government,Other,<=50K
Male,31,Black,spouse present,Undergraduate,North America,Non-Government,Other,<=50K
Male,26,White,spouse present,High School,North America,Government,Nontechnical,>50K
Male,31,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,45,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,45,Black,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,51,White,spouse present,Undergraduate,North America,Non-Government,Other,>50K
Male,26,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,45,White,spouse present,Professional Education,North America,Non-Government,Technical,>50K
Male,51,White,spouse not present,Undergraduate,North America,Non-Government,Technical,>50K
Male,31,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,31,White,spouse not present,Graduate,North America,Government,Technical,<=50K
Male,63,White,spouse present,High School,North America,Non-Government,Other,<=50K
Male,51,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,40,White,spouse present,High School,North America,Non-Government,Other,<=50K
Male,20,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,40,White,spouse present,Professional Education,North America,Non-Government,Technical,<=50K
Male,40,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Male,45,White,spouse present,High School,North America,Non-Government,Other,>50K
Male,63,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,26,Black,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,63,White,spouse not present,High School,North America,Non-Government,Technical,>50K
Male,26,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40,White,spouse present,Professional Education,North America,Non-Government,Technical,<=50K
Male,51,White,spouse present,Graduate,North America,Non-Government,Nontechnical,>50K
Male,36,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Male,36,White,spouse not present,Undergraduate,North America,Non-Government,Technical,>50K
Male,26,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,31,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,31,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Male,45,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Male,36,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,51,White,spouse not present,Graduate,North America,Non-Government,Technical,>50K
Female,45,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,45,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,26,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,20,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,40,White,spouse present,Undergraduate,North America,Non-Government,Other,>50K
Male,51,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,40,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Male,51,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,51,White,spouse present,High School,North America,Government,Other,<=50K
Male,31,White,spouse present,Graduate,North America,Government,Technical,<=50K
Male,36,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,45,Black,spouse not present,High School,North America,Non-Government,Technical,>50K
Female,20,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,45,White,spouse present,Professional Education,North America,Non-Government,Technical,>50K
Male,36,White,spouse present,High School,North America,Non-Government,Other,<=50K
Male,40,White,spouse present,High School,North America,Non-Government,Other,>50K
Male,63,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,40,Black,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,45,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,40,White,spouse present,Professional Education,North America,Non-Government,Technical,<=50K
Male,36,Black,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,26,Black,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,51,White,spouse present,High School,North America,Non-Government,Other,<=50K
Female,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,40,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,20,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,40,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,36,White,spouse present,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,45,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,20,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,45,White,spouse present,High School,North America,Non-Government,Technical,>50K
Female,51,White,spouse not present,High School,North America,Government,Technical,<=50K
Male,45,White,spouse present,Professional Education,North America,Non-Government,Technical,>50K
Male,26,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,36,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,63,White,spouse present,High School,North America,Non-Government,Nontechnical,>50K
Male,40,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,40,White,spouse present,High School,North America,Non-Government,Nontechnical,>50K
Male,31,White,spouse present,Graduate,North America,Government,Technical,>50K
Male,45,White,spouse not present,Graduate,North America,Non-Government,Technical,<=50K
Male,20,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,36,White,spouse present,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,51,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,51,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Male,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,20,Black,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,26,White,spouse present,High School,North America,Non-Government,Other,<=50K
Female,26,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,20,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,51,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,31,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,63,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,36,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,63,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,45,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,51,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,45,White,spouse not present,Graduate,North America,Non-Government,Technical,>50K
Male,63,White,spouse present,Graduate,North America,Government,Technical,>50K
Female,20,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,26,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,31,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,51,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,45,White,spouse not present,Graduate,North America,Non-Government,Technical,<=50K
Female,20,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,26,White,spouse not present,High School,North America,Non-Government,Technical,>50K
Male,26,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,20,Black,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,63,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,45,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,45,Black,spouse present,High School,North America,Non-Government,Other,>50K
Female,36,Black,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,45,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,20,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,26,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
